Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-04-19T14:45:22.192;536732118611834943;44113;-39156;-133847;-477947;
2024-04-19T14:45:22.211;536732118629997294;44440;-38849;-133579;-477950;
2024-04-19T14:45:22.229;536732118648159645;44766;-38536;-133281;-478000;
2024-04-19T14:45:22.247;536732118666321996;45010;-38165;-133069;-477970;
2024-04-19T14:45:22.265;536732118684484347;45307;-37833;-132869;-478020;
2024-04-19T14:45:22.283;536732118702646698;45625;-37514;-132551;-478021;
2024-04-19T14:45:22.301;536732118720809049;45925;-37223;-132313;-477972;
2024-04-19T14:45:22.320;536732118738971400;46202;-37025;-132062;-478020;
2024-04-19T14:45:22.338;536732118757133751;46531;-36630;-131818;-477983;
2024-04-19T14:45:22.356;536732118775296102;46834;-36437;-131556;-477981;
2024-04-19T14:45:22.374;536732118793458453;47085;-36254;-131355;-478001;
2024-04-19T14:45:22.392;536732118811620804;47428;-35917;-131165;-477989;
2024-04-19T14:45:22.410;536732118829783155;47757;-35621;-130966;-478019;
2024-04-19T14:45:22.429;536732118847945506;48169;-35358;-130675;-477958;
2024-04-19T14:45:22.447;536732118866107857;48463;-35231;-130503;-477997;
2024-04-19T14:45:22.465;536732118884270208;48822;-34912;-130303;-477951;
2024-04-19T14:45:22.483;536732118902432559;49096;-34734;-130200;-478018;
2024-04-19T14:45:22.501;536732118920594910;49507;-34454;-129978;-478009;
2024-04-19T14:45:22.519;536732118938757261;49791;-34254;-129737;-477989;
2024-04-19T14:45:22.538;536732118956919612;50076;-33916;-129553;-477921;
2024-04-19T14:45:22.556;536732118975081963;50389;-33610;-129377;-478011;
2024-04-19T14:45:22.574;536732118993244314;50744;-33421;-129215;-478033;
2024-04-19T14:45:22.592;536732119011406665;51011;-33197;-129021;-477980;
2024-04-19T14:45:22.610;536732119029569016;51318;-32916;-128891;-477979;
2024-04-19T14:45:22.628;536732119047731367;51636;-32651;-128711;-477943;
2024-04-19T14:45:22.647;536732119065893718;51909;-32477;-128488;-478028;
2024-04-19T14:45:22.665;536732119084056069;52200;-32270;-128319;-477989;
2024-04-19T14:45:22.683;536732119102218420;52460;-32057;-128137;-478041;
2024-04-19T14:45:22.701;536732119120380771;52785;-31785;-127948;-478005;
2024-04-19T14:45:22.719;536732119138543122;53076;-31498;-127787;-477943;
2024-04-19T14:45:22.737;536732119156705473;53385;-31267;-127622;-477998;
2024-04-19T14:45:22.756;536732119174867824;53749;-30943;-127397;-477916;
2024-04-19T14:45:22.774;536732119193030175;53994;-30758;-127301;-477989;
2024-04-19T14:45:22.792;536732119211192526;54254;-30546;-127082;-477971;
2024-04-19T14:45:22.810;536732119229354877;54409;-30430;-126930;-478051;
2024-04-19T14:45:22.828;536732119247517228;54612;-30252;-126781;-477952;
2024-04-19T14:45:22.846;536732119265678737;54841;-30052;-126685;-477964;
2024-04-19T14:45:22.864;536732119283840216;55020;-29931;-126526;-478027;
2024-04-19T14:45:22.883;536732119302001695;55201;-29747;-126369;-477984;
2024-04-19T14:45:22.901;536732119320163174;55495;-29643;-126187;-477991;
2024-04-19T14:45:22.919;536732119338324653;55631;-29480;-126087;-478036;
2024-04-19T14:45:22.937;536732119356486132;55955;-29296;-125885;-478023;
2024-04-19T14:45:22.955;536732119374647611;56172;-29056;-125797;-478049;
2024-04-19T14:45:22.973;536732119392809090;56482;-28788;-125590;-477985;
2024-04-19T14:45:22.992;536732119410970569;56658;-28568;-125483;-477980;
2024-04-19T14:45:23.010;536732119429132048;56983;-28363;-125324;-477991;
2024-04-19T14:45:23.028;536732119447293527;57228;-28161;-125146;-478011;
2024-04-19T14:45:23.046;536732119465455006;57475;-27960;-124966;-477964;
2024-04-19T14:45:23.064;536732119483616485;57696;-27751;-124817;-477957;
2024-04-19T14:45:23.082;536732119501777964;57967;-27492;-124622;-477995;
2024-04-19T14:45:23.101;536732119519939443;58231;-27316;-124536;-477970;
2024-04-19T14:45:23.119;536732119538100922;58433;-27085;-124392;-477989;
2024-04-19T14:45:23.137;536732119556262401;58686;-26876;-124194;-477958;
2024-04-19T14:45:23.155;536732119574423880;58996;-26720;-123988;-477991;
2024-04-19T14:45:23.173;536732119592585359;59196;-26526;-123877;-477914;
2024-04-19T14:45:23.191;536732119610746838;59415;-26365;-123712;-477946;
2024-04-19T14:45:23.210;536732119628908317;59639;-26245;-123597;-478004;
2024-04-19T14:45:23.228;536732119647069796;59890;-26026;-123475;-477896;
2024-04-19T14:45:23.246;536732119665231275;60180;-25804;-123268;-477935;
2024-04-19T14:45:23.264;536732119683392754;60464;-25589;-123037;-477923;
2024-04-19T14:45:23.282;536732119701554233;60596;-25363;-122938;-477965;
2024-04-19T14:45:23.300;536732119719715712;60774;-25281;-122784;-477993;
2024-04-19T14:45:23.319;536732119737877191;60924;-25098;-122688;-477963;
2024-04-19T14:45:23.337;536732119756038670;61126;-24989;-122531;-477902;
2024-04-19T14:45:23.355;536732119774200149;61266;-24857;-122429;-477967;
2024-04-19T14:45:23.373;536732119792361628;61422;-24785;-122356;-478013;
2024-04-19T14:45:23.391;536732119810523107;61622;-24641;-122232;-477984;
2024-04-19T14:45:23.409;536732119828684586;61809;-24519;-122121;-478031;
2024-04-19T14:45:23.427;536732119846846065;62066;-24371;-122021;-477984;
2024-04-19T14:45:23.446;536732119865007544;62249;-24154;-121853;-477962;
2024-04-19T14:45:23.464;536732119883169023;62443;-24014;-121774;-478006;
2024-04-19T14:45:23.482;536732119901330502;62681;-23896;-121612;-477962;
2024-04-19T14:45:23.500;536732119919491981;62949;-23601;-121479;-478034;
2024-04-19T14:45:23.518;536732119937653460;63185;-23494;-121359;-477980;
2024-04-19T14:45:23.536;536732119955814939;63355;-23251;-121250;-477972;
2024-04-19T14:45:23.555;536732119973976418;63632;-23093;-121046;-477975;
2024-04-19T14:45:23.573;536732119992137897;63832;-22955;-120870;-477992;
2024-04-19T14:45:23.591;536732120010299376;63970;-22708;-120739;-477982;
2024-04-19T14:45:23.609;536732120028459861;64168;-22533;-120647;-477966;
2024-04-19T14:45:23.627;536732120046620338;64389;-22366;-120533;-478002;
2024-04-19T14:45:23.645;536732120064780815;64583;-22224;-120438;-477999;
2024-04-19T14:45:23.664;536732120082941292;64840;-22057;-120221;-477998;
2024-04-19T14:45:23.682;536732120101101769;64960;-21913;-120059;-477993;
2024-04-19T14:45:23.700;536732120119262246;65210;-21703;-119983;-477972;
2024-04-19T14:45:23.718;536732120137422723;65407;-21526;-119840;-477955;
2024-04-19T14:45:23.736;536732120155583200;65513;-21462;-119764;-477974;
2024-04-19T14:45:23.754;536732120173743677;65754;-21169;-119595;-477976;
2024-04-19T14:45:23.773;536732120191904154;65900;-21008;-119375;-477963;
2024-04-19T14:45:23.791;536732120210064631;66147;-20831;-119258;-477945;
2024-04-19T14:45:23.809;536732120228225108;66250;-20721;-119182;-478027;
2024-04-19T14:45:23.827;536732120246385585;66371;-20641;-119087;-477976;
2024-04-19T14:45:23.845;536732120264546062;66415;-20584;-119032;-477965;
2024-04-19T14:45:23.863;536732120282706539;66582;-20492;-118904;-478006;
2024-04-19T14:45:23.882;536732120300867016;66745;-20301;-118824;-477967;
2024-04-19T14:45:23.900;536732120319027493;66850;-20095;-118685;-477946;
2024-04-19T14:45:23.918;536732120337187970;67024;-20059;-118650;-477959;
2024-04-19T14:45:23.936;536732120355348447;67211;-19886;-118515;-477914;
2024-04-19T14:45:23.954;536732120373508924;67292;-19712;-118384;-477929;
2024-04-19T14:45:23.972;536732120391669401;67569;-19526;-118281;-477927;
2024-04-19T14:45:23.990;536732120409829878;67726;-19363;-118112;-477979;
2024-04-19T14:45:24.009;536732120427990355;67669;-19168;-117854;-477929;
2024-04-19T14:45:24.027;536732120446150832;67295;-19150;-117681;-477962;
2024-04-19T14:45:24.045;536732120464311309;66823;-19308;-117659;-477928;
2024-04-19T14:45:24.063;536732120482471786;66426;-19823;-118077;-477928;
2024-04-19T14:45:24.081;536732120500632263;66120;-20262;-118713;-477908;
2024-04-19T14:45:24.099;536732120518792740;65702;-20731;-119540;-477935;
2024-04-19T14:45:24.118;536732120536953217;65591;-21199;-120501;-477927;
2024-04-19T14:45:24.136;536732120555113694;65912;-21232;-121610;-477899;
2024-04-19T14:45:24.154;536732120573274171;67011;-20465;-122956;-477878;
2024-04-19T14:45:24.172;536732120591434648;68850;-18742;-124289;-477855;
2024-04-19T14:45:24.190;536732120609595125;71054;-16548;-125287;-477907;
2024-04-19T14:45:24.208;536732120627755602;73157;-14412;-125618;-477838;
2024-04-19T14:45:24.227;536732120645916079;74617;-12871;-125765;-477844;
2024-04-19T14:45:24.245;536732120664078131;75267;-12381;-125662;-477822;
2024-04-19T14:45:24.263;536732120682240155;75061;-12794;-125387;-477824;
2024-04-19T14:45:24.281;536732120700402179;74455;-13661;-125199;-477894;
2024-04-19T14:45:24.299;536732120718564203;74162;-14308;-125059;-477881;
2024-04-19T14:45:24.317;536732120736726227;73991;-14797;-124941;-477882;
2024-04-19T14:45:24.336;536732120754888251;74010;-15013;-124937;-477863;
2024-04-19T14:45:24.354;536732120773050275;74117;-15160;-124751;-477859;
2024-04-19T14:45:24.372;536732120791212299;74228;-15117;-124654;-477881;
2024-04-19T14:45:24.390;536732120809374323;74520;-14936;-124447;-477900;
2024-04-19T14:45:24.408;536732120827536347;74872;-14847;-124344;-477844;
2024-04-19T14:45:24.426;536732120845698371;75162;-14702;-124255;-477845;
2024-04-19T14:45:24.444;536732120863860395;75385;-14584;-124151;-477894;
2024-04-19T14:45:24.463;536732120882022419;75657;-14616;-124018;-477859;
2024-04-19T14:45:24.481;536732120900184443;75735;-14691;-123794;-477859;
2024-04-19T14:45:24.499;536732120918346467;75881;-14804;-123504;-477866;
2024-04-19T14:45:24.517;536732120936508491;76016;-14882;-123293;-477855;
2024-04-19T14:45:24.535;536732120954670515;76018;-15061;-123169;-477874;
2024-04-19T14:45:24.553;536732120972832539;76059;-15189;-123100;-477865;
2024-04-19T14:45:24.572;536732120990994563;76060;-15220;-123063;-477911;
2024-04-19T14:45:24.590;536732121009156587;76129;-15210;-123133;-477895;
2024-04-19T14:45:24.608;536732121027318611;76160;-15082;-123241;-477878;
2024-04-19T14:45:24.626;536732121045480635;76248;-14632;-123411;-477865;
2024-04-19T14:45:24.644;536732121063642659;76371;-14016;-123429;-477838;
2024-04-19T14:45:24.662;536732121081804683;76474;-13171;-123406;-477847;
2024-04-19T14:45:24.681;536732121099966707;76659;-12161;-123381;-477875;
2024-04-19T14:45:24.699;536732121118128731;76909;-11017;-123319;-477822;
2024-04-19T14:45:24.717;536732121136290755;77165;-10067;-123119;-477784;
2024-04-19T14:45:24.735;536732121154452779;77417;-9107;-122950;-477771;
2024-04-19T14:45:24.753;536732121172614803;77717;-8380;-122737;-477808;
2024-04-19T14:45:24.771;536732121190776827;78000;-7847;-122572;-477845;
2024-04-19T14:45:24.790;536732121208938851;78313;-7431;-122394;-477744;
2024-04-19T14:45:24.808;536732121227100875;78519;-7083;-122246;-477790;
2024-04-19T14:45:24.826;536732121245262899;78485;-6953;-122230;-477857;
2024-04-19T14:45:24.844;536732121263424923;78669;-6715;-122261;-477806;
2024-04-19T14:45:24.862;536732121281586947;78787;-6550;-122322;-477834;
2024-04-19T14:45:24.880;536732121299748971;78689;-6570;-122395;-477877;
2024-04-19T14:45:24.899;536732121317910131;78704;-6641;-122501;-477868;
2024-04-19T14:45:24.917;536732121336071265;78667;-6722;-122500;-477855;
2024-04-19T14:45:24.935;536732121354232399;78715;-6859;-122582;-477895;
2024-04-19T14:45:24.953;536732121372393533;78720;-6902;-122528;-477878;
2024-04-19T14:45:24.971;536732121390554667;78771;-6864;-122541;-477876;
2024-04-19T14:45:24.989;536732121408715801;78968;-6804;-122665;-477797;
2024-04-19T14:45:25.008;536732121426876935;79122;-6483;-122713;-477816;
2024-04-19T14:45:25.026;536732121445038069;79218;-6132;-122705;-477870;
2024-04-19T14:45:25.044;536732121463199203;79543;-5754;-122706;-477864;
2024-04-19T14:45:25.062;536732121481360337;79903;-5322;-122663;-477816;
2024-04-19T14:45:25.080;536732121499521471;80198;-4823;-122699;-477866;
2024-04-19T14:45:25.098;536732121517682605;80529;-4244;-122683;-477865;
2024-04-19T14:45:25.116;536732121535843739;81032;-3620;-122621;-477788;
2024-04-19T14:45:25.135;536732121554004873;81432;-3019;-122523;-477778;
2024-04-19T14:45:25.153;536732121572166007;81850;-2501;-122406;-477800;
2024-04-19T14:45:25.171;536732121590327141;82219;-1944;-122261;-477729;
2024-04-19T14:45:25.189;536732121608488275;82476;-1530;-122231;-477754;
2024-04-19T14:45:25.207;536732121626649409;82696;-1132;-122210;-477823;
2024-04-19T14:45:25.225;536732121644810543;82952;-707;-122086;-477843;
2024-04-19T14:45:25.244;536732121662971677;83192;-271;-122003;-477887;
2024-04-19T14:45:25.262;536732121681132811;83201;29;-121841;-477887;
2024-04-19T14:45:25.280;536732121699293945;83063;200;-121758;-477857;
2024-04-19T14:45:25.298;536732121717455079;83074;564;-121664;-477864;
2024-04-19T14:45:25.316;536732121735616213;82977;940;-121541;-477883;
2024-04-19T14:45:25.334;536732121753777347;82896;1435;-121446;-477901;
2024-04-19T14:45:25.353;536732121771938481;83286;2171;-121177;-477819;
2024-04-19T14:45:25.371;536732121790099615;84066;3006;-120852;-477912;
2024-04-19T14:45:25.389;536732121808260749;85272;3904;-120410;-477850;
2024-04-19T14:45:25.407;536732121826421883;86383;4779;-120108;-477880;
2024-04-19T14:45:25.425;536732121844583017;87711;5676;-119827;-477892;
2024-04-19T14:45:25.443;536732121862744151;89232;6494;-119669;-477870;
2024-04-19T14:45:25.462;536732121880905285;90620;7285;-119706;-477873;
2024-04-19T14:45:25.480;536732121899066419;91899;8379;-119732;-477865;
2024-04-19T14:45:25.498;536732121917227553;92937;9206;-119818;-477952;
2024-04-19T14:45:25.516;536732121935388687;93738;9976;-119850;-477975;
2024-04-19T14:45:25.534;536732121953549821;94291;10380;-119925;-477926;
2024-04-19T14:45:25.552;536732121971710410;94681;10592;-120037;-477874;
2024-04-19T14:45:25.571;536732121989870970;94771;10653;-120281;-477847;
2024-04-19T14:45:25.589;536732122008031530;94803;10761;-120492;-477913;
2024-04-19T14:45:25.607;536732122026192090;94844;10655;-120660;-477959;
2024-04-19T14:45:25.625;536732122044352650;94797;10647;-120914;-477963;
2024-04-19T14:45:25.643;536732122062513210;94876;10581;-121080;-477984;
2024-04-19T14:45:25.661;536732122080673770;94742;10489;-121252;-477955;
2024-04-19T14:45:25.679;536732122098834330;94782;10401;-121267;-477953;
2024-04-19T14:45:25.698;536732122116994890;94742;10260;-121441;-477975;
2024-04-19T14:45:25.716;536732122135155450;94805;10194;-121465;-477935;
2024-04-19T14:45:25.734;536732122153316010;94722;10144;-121580;-477945;
2024-04-19T14:45:25.752;536732122171476570;94793;10160;-121724;-478020;
2024-04-19T14:45:25.770;536732122189637130;94797;10148;-121784;-477993;
2024-04-19T14:45:25.788;536732122207797690;94835;10161;-121854;-477982;
2024-04-19T14:45:25.807;536732122225958250;94641;10060;-122030;-477985;
2024-04-19T14:45:25.825;536732122244118810;94385;9849;-122331;-478005;
2024-04-19T14:45:25.843;536732122262279370;93917;9507;-122677;-478053;
2024-04-19T14:45:25.861;536732122280439930;93488;9185;-122964;-477985;
2024-04-19T14:45:25.879;536732122298600490;92975;8716;-123195;-478020;
2024-04-19T14:45:25.897;536732122316761050;92539;8306;-123414;-477967;
2024-04-19T14:45:25.916;536732122334921610;92121;7941;-123662;-478012;
2024-04-19T14:45:25.934;536732122353082170;91762;7490;-123876;-478004;
2024-04-19T14:45:25.952;536732122371242730;91469;7027;-124109;-477991;
2024-04-19T14:45:25.970;536732122389403290;91248;6728;-124162;-477968;
2024-04-19T14:45:25.988;536732122407563850;91160;6479;-124126;-477999;
2024-04-19T14:45:26.006;536732122425724410;90989;6186;-124194;-478013;
2024-04-19T14:45:26.025;536732122443884970;90924;5909;-124153;-477976;
2024-04-19T14:45:26.043;536732122462045530;90746;5620;-124247;-478058;
2024-04-19T14:45:26.061;536732122480206090;90492;5200;-124229;-477987;
2024-04-19T14:45:26.079;536732122498366650;90177;4669;-124262;-477998;
2024-04-19T14:45:26.097;536732122516527210;89605;3980;-124260;-478027;
2024-04-19T14:45:26.115;536732122534687770;89210;3218;-124177;-477997;
2024-04-19T14:45:26.133;536732122552848330;88632;2551;-124048;-478016;
2024-04-19T14:45:26.152;536732122571008890;88220;1924;-123945;-478120;
2024-04-19T14:45:26.170;536732122589169450;87855;1485;-123777;-478079;
2024-04-19T14:45:26.188;536732122607330010;87555;1124;-123643;-478104;
2024-04-19T14:45:26.206;536732122625490570;87403;856;-123433;-478047;
2024-04-19T14:45:26.224;536732122643651161;87209;663;-123352;-477980;
2024-04-19T14:45:26.242;536732122661811744;87115;504;-123243;-478006;
2024-04-19T14:45:26.261;536732122679972327;87007;277;-123002;-477993;
2024-04-19T14:45:26.279;536732122698132910;86939;144;-122897;-478006;
2024-04-19T14:45:26.297;536732122716293493;86877;26;-122721;-478017;
2024-04-19T14:45:26.315;536732122734454076;86818;-123;-122669;-477978;
2024-04-19T14:45:26.333;536732122752614659;86429;-391;-122758;-478026;
2024-04-19T14:45:26.351;536732122770775242;86076;-799;-122952;-477999;
2024-04-19T14:45:26.370;536732122788935825;85562;-1187;-123204;-478009;
2024-04-19T14:45:26.388;536732122807096408;85099;-1600;-123376;-478032;
