Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-04-25T22:29:13.269;537278354562596728;-410124;-417499;-397254;-530330
2024-04-25T22:29:13.287;537278354580753030;-410136;-417545;-397264;-530318
2024-04-25T22:29:13.305;537278354598909332;-410176;-417479;-397257;-530285
2024-04-25T22:29:13.323;537278354617065634;-410204;-417530;-397259;-530275
2024-04-25T22:29:13.342;537278354635221936;-410190;-417527;-397297;-530259
2024-04-25T22:29:13.360;537278354653378238;-410196;-417564;-397342;-530286
2024-04-25T22:29:13.378;537278354671534540;-410213;-417561;-397331;-530286
2024-04-25T22:29:13.396;537278354689690842;-410240;-417586;-397383;-530296
2024-04-25T22:29:13.414;537278354707847144;-410194;-417505;-397326;-530315
2024-04-25T22:29:13.432;537278354726003446;-410227;-417515;-397358;-530351
2024-04-25T22:29:13.451;537278354744159748;-410177;-417515;-397345;-530342
2024-04-25T22:29:13.469;537278354762316050;-410187;-417518;-397308;-530302
2024-04-25T22:29:13.487;537278354780472352;-410224;-417497;-397350;-530324
2024-04-25T22:29:13.505;537278354798628654;-410170;-417513;-397364;-530322
2024-04-25T22:29:13.523;537278354816784956;-410259;-417592;-397418;-530329
2024-04-25T22:29:13.541;537278354834941258;-410274;-417559;-397430;-530340
2024-04-25T22:29:13.559;537278354853097560;-410260;-417556;-397374;-530312
2024-04-25T22:29:13.578;537278354871253862;-410194;-417480;-397364;-530305
2024-04-25T22:29:13.596;537278354889410164;-410154;-417445;-397328;-530289
2024-04-25T22:29:13.614;537278354907566466;-410209;-417511;-397378;-530316
2024-04-25T22:29:13.632;537278354925722768;-410225;-417447;-397383;-530298
2024-04-25T22:29:13.650;537278354943879070;-410240;-417499;-397396;-530370
2024-04-25T22:29:13.668;537278354962035372;-410225;-417598;-397377;-530351
2024-04-25T22:29:13.687;537278354980191674;-410158;-417463;-397358;-530293
2024-04-25T22:29:13.705;537278354998347976;-410134;-417442;-397328;-530308
2024-04-25T22:29:13.723;537278355016504278;-410108;-417408;-397312;-530336
2024-04-25T22:29:13.741;537278355034660580;-410070;-417370;-397277;-530222
2024-04-25T22:29:13.759;537278355052816882;-410041;-417377;-397239;-530288
2024-04-25T22:29:13.777;537278355070973184;-410020;-417338;-397193;-530292
2024-04-25T22:29:13.795;537278355089129486;-410019;-417362;-397186;-530308
2024-04-25T22:29:13.814;537278355107285788;-409980;-417304;-397197;-530309
2024-04-25T22:29:13.832;537278355125442090;-409995;-417315;-397181;-530298
2024-04-25T22:29:13.850;537278355143598392;-409896;-417223;-397141;-530272
2024-04-25T22:29:13.868;537278355161754694;-409926;-417229;-397176;-530292
2024-04-25T22:29:13.886;537278355179910996;-409875;-417241;-397133;-530326
2024-04-25T22:29:13.904;537278355198067298;-409850;-417166;-397083;-530346
2024-04-25T22:29:13.923;537278355216223600;-409795;-417148;-397023;-530319
2024-04-25T22:29:13.941;537278355234379902;-409819;-417104;-397016;-530308
2024-04-25T22:29:13.959;537278355252536204;-409810;-417166;-396989;-530340
2024-04-25T22:29:13.977;537278355270692506;-409733;-417071;-396991;-530365
2024-04-25T22:29:13.995;537278355288848808;-409739;-417005;-396886;-530339
2024-04-25T22:29:14.013;537278355307005110;-409730;-417050;-396868;-530344
2024-04-25T22:29:14.032;537278355325161412;-409635;-417012;-396823;-530280
2024-04-25T22:29:14.050;537278355343317714;-409580;-416947;-396818;-530306
2024-04-25T22:29:14.068;537278355361474016;-409584;-416929;-396725;-530336
2024-04-25T22:29:14.086;537278355379630318;-409556;-416893;-396641;-530316
2024-04-25T22:29:14.104;537278355397786620;-409458;-416856;-396692;-530291
2024-04-25T22:29:14.122;537278355415942634;-409397;-416829;-396589;-530273
2024-04-25T22:29:14.140;537278355434098624;-409379;-416813;-396561;-530280
2024-04-25T22:29:14.159;537278355452254614;-409337;-416726;-396505;-530314
2024-04-25T22:29:14.177;537278355470410604;-409244;-416728;-396486;-530317
2024-04-25T22:29:14.195;537278355488566594;-409260;-416659;-396477;-530334
2024-04-25T22:29:14.213;537278355506722584;-409309;-416721;-396472;-530310
2024-04-25T22:29:14.231;537278355524878574;-409332;-416774;-396473;-530299
2024-04-25T22:29:14.249;537278355543034564;-409404;-416783;-396561;-530298
2024-04-25T22:29:14.268;537278355561190554;-409468;-416922;-396675;-530326
2024-04-25T22:29:14.286;537278355579346544;-409600;-416983;-396777;-530323
2024-04-25T22:29:14.304;537278355597502534;-409652;-417057;-396903;-530345
2024-04-25T22:29:14.322;537278355615658524;-409755;-417155;-396988;-530326
2024-04-25T22:29:14.340;537278355633814514;-409784;-417181;-397036;-530335
2024-04-25T22:29:14.358;537278355651970504;-409867;-417210;-397086;-530302
2024-04-25T22:29:14.376;537278355670126494;-409886;-417243;-397126;-530341
2024-04-25T22:29:14.395;537278355688282484;-409882;-417225;-397125;-530314
2024-04-25T22:29:14.413;537278355706438474;-409879;-417270;-397184;-530345
2024-04-25T22:29:14.431;537278355724594464;-409871;-417275;-397162;-530378
2024-04-25T22:29:14.449;537278355742750454;-409836;-417293;-397164;-530342
2024-04-25T22:29:14.467;537278355760906444;-409903;-417270;-397201;-530324
2024-04-25T22:29:14.485;537278355779062434;-409999;-417361;-397276;-530373
2024-04-25T22:29:14.504;537278355797218424;-409991;-417303;-397332;-530376
2024-04-25T22:29:14.522;537278355815374414;-410049;-417387;-397309;-530347
2024-04-25T22:29:14.540;537278355833530404;-410101;-417425;-397390;-530352
2024-04-25T22:29:14.558;537278355851686394;-410170;-417486;-397415;-530290
2024-04-25T22:29:14.576;537278355869842384;-410159;-417500;-397449;-530288
